,a,b,m,t
0,-98.06203202821925,-313.57062191965827,0.0,-10.0
1,-89.6955853343447,-232.74223860595487,24.681017746930046,-9.661016949152543
2,-83.86232011328681,-178.3643424774492,17.208132402120818,-9.322033898305088
3,-77.64168979998253,-122.48410406980054,18.35085942424763,-8.98305084745763
4,-71.8162524879932,-72.12862900006223,17.185040070368537,-8.644067796610173
5,-66.17632236812342,-25.2885313943641,16.637793853615875,-8.305084745762715
6,-60.77808458360986,17.71437977040506,15.924801464315076,-7.96610169491526
7,-55.60648437069356,57.15878817400397,15.25622062810316,-7.627118644067802
8,-50.665555641169504,93.16894671121321,14.575739752096018,-7.288135593220347
9,-45.95421751162692,125.90875405210238,13.898447482150623,-6.9491525423728895
10,-41.47275960390538,155.5319503912787,13.220300827778633,-6.610169491525433
11,-37.22110431406363,182.1948733953711,12.542383105033185,-6.271186440677978
12,-33.199272436018745,206.0531980956374,11.864404040232447,-5.932203389830519
13,-29.407258398054246,227.26276813848975,11.186441411995322,-5.593220338983064
14,-25.845063693109434,245.97938438480998,10.508474379587183,-5.254237288135607
15,-22.512687921150608,262.3588585181669,9.830508527278548,-4.915254237288148
16,-19.41013118936752,276.5569994941235,9.15254235876015,-4.576271186440692
17,-16.53739346903883,288.7296169531434,8.474576274969657,-4.237288135593236
18,-13.894474767859078,299.0325203645222,7.796610168480283,-3.898305084745779
19,-11.481375083770061,307.6215192400933,7.118644068062622,-3.5593220338983222
20,-9.29809441731708,314.6524230812131,6.440677966036308,-3.2203389830508655
21,-7.3446327683609836,320.2810413917646,5.762711864420498,-2.8813559322034084
22,-5.620990136934459,324.6631836750524,5.084745762708272,-2.542372881355952
23,-4.127166523029514,327.95465943450404,4.406779661019598,-2.2033898305084962
24,-2.8631619266493673,330.31127817351785,3.728813559321435,-1.8644067796610384
25,-1.8289763477926,331.8888493955028,3.0508474576274733,-1.5254237288135817
26,-1.024609786460328,332.84318260386317,2.3728813559302093,-1.1864406779661252
27,-0.450062242650581,333.33008730200703,1.6949152542387582,-0.8474576271186685
28,-0.10533371636511357,333.50537299333865,1.0169491525421315,-0.5084745762712117
29,0.009575792397105022,333.5248491812644,0.33898305084854574,-0.169491525423755
30,-0.10533371636528766,333.54432536919023,-0.3389830508490593,0.16949152542370172
31,-0.4500622426508909,333.7196110605219,-1.0169491525425323,0.5084745762711584
32,-1.0246097864589145,334.20651575866424,-1.694915254233674,0.8474576271186152
33,-1.828976347792914,335.16084896702665,-2.372881355935305,1.1864406779660719
34,-2.863161926649518,336.73842018901126,-3.0508474576269915,1.5254237288135286
35,-4.127166523029626,339.09503892802496,-3.7288135593213294,1.864406779660985
36,-5.620990136933916,342.386514687475,-4.406779661017665,2.203389830508442
37,-7.344632768359939,346.76865697076147,-5.084745762706781,2.542372881355899
38,-9.298094417318723,352.3972752813206,-5.762711864428432,2.8813559322033555
39,-11.481375083767698,359.4281791224274,-6.440677966024496,3.220338983050812
40,-13.89447476785985,368.0171779980096,-7.118644068071861,3.5593220338982685
41,-16.537393469037994,378.3200814093819,-7.796610168475549,3.8983050847457257
42,-19.41013118936735,390.49269886840443,-8.474576274971621,4.2372881355931815
43,-22.512687921149837,404.69083984435815,-9.152542358758348,4.576271186440639
44,-25.845063693108933,421.07031397771624,-9.83050852727936,4.915254237288097
45,-29.4072583980532,439.7869302240334,-10.508474379585632,5.254237288135553
46,-33.19927243601788,460.9965002668865,-11.18644141199583,5.593220338983009
47,-37.221104314063595,484.8548249671576,-11.864404040234913,5.932203389830465
48,-41.47275960390448,511.51774797124426,-12.54238310503061,6.271186440677923
49,-45.954217511626226,541.1409443104218,-13.220300827779198,6.6101694915253795
50,-50.66555564116867,573.8807516513098,-13.898447482150246,6.949152542372836
51,-55.60648437069352,609.8909101885245,-14.575739752098334,7.288135593220294
52,-60.77808458360843,649.3353185921126,-15.256220628099047,7.62711864406775
53,-66.17632236812256,692.3382297568859,-15.924801464316769,7.966101694915206
54,-71.81625248799305,739.1783273625897,-16.637793853618,8.305084745762661
55,-77.6416897999804,789.5338024323105,-17.185040070362618,8.64406779661012
56,-83.86232011328624,845.4140408399728,-18.350859424252317,8.983050847457578
57,-89.69558533434397,899.7919369684768,-17.208132402120363,9.322033898305033
58,-98.06203202821757,980.6203202821705,-24.68101774692718,9.66101694915249
59,0.0,0.0,0.0,9.999999999999947
